Top_K,Min_Volume,Min_Close,Min_Buy_Probability,Min_Buy_Sell_Margin,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
5,200000,10.0,0.45,0.0,0.001,0.001,0.004,2599,106,389,37,0.0010898378616484372,0.0007093751367127046,0.4218062228808446,0.22723962977120915,-0.9633084491025498,4.884318766066838,0.876809797085432,0.5755618014614132
10,200000,10.0,0.45,0.0,0.001,0.001,0.004,2599,106,389,37,0.0010783230838761614,0.0006978603589404283,0.4139708573248255,0.2204446108382021,-0.9633084491025498,4.627249357326478,0.8611331075132475,0.5619027729691443
20,200000,10.0,0.45,0.0,0.001,0.001,0.004,2599,106,389,37,0.0010783230838761614,0.0006978603589404283,0.4139708573248255,0.2204446108382021,-0.9633084491025498,4.627249357326478,0.8611331075132475,0.5619027729691443
5,200000,10.0,0.6,0.0,0.001,0.001,0.004,2599,106,389,7,0.0006024238452230381,0.0005304444107757372,0.22841790603297696,0.19528936014208886,-0.9633084491025498,1.2853470437017995,0.7638846298363716,0.6823959246276925
10,200000,10.0,0.6,0.0,0.001,0.001,0.004,2599,106,389,7,0.0005466295067304244,0.00047465007228312357,0.20209244458911213,0.16957228453687212,-0.9633084491025498,1.0282776349614395,0.6934684218121244,0.6100392578852774
20,200000,10.0,0.6,0.0,0.001,0.001,0.004,2599,106,389,7,0.0005466295067304244,0.00047465007228312357,0.20209244458911213,0.16957228453687212,-0.9633084491025498,1.0282776349614395,0.6934684218121244,0.6100392578852774
5,200000,10.0,0.55,0.0,0.001,0.001,0.004,2599,106,389,9,0.00048118922316987784,0.0003886442360233482,0.17005834633915695,0.12918589830422844,-0.9633084491025498,1.5424164524421593,0.5958449445540489,0.4863167744569051
10,200000,10.0,0.55,0.0,0.001,0.001,0.004,2599,106,389,9,0.00042717972564305245,0.0003346347384965228,0.14578568608989206,0.10566824531799779,-0.9633084491025498,1.2853470437017995,0.5292818078522142,0.41843846404170737
20,200000,10.0,0.55,0.0,0.001,0.001,0.004,2599,106,389,9,0.00042717972564305245,0.0003346347384965228,0.14578568608989206,0.10566824531799779,-0.9633084491025498,1.2853470437017995,0.5292818078522142,0.41843846404170737
5,100000,10.0,0.55,0.0,0.001,0.001,0.004,5519,141,389,14,0.00045323881182975084,0.00030927994293514916,0.14715705907741317,0.08499059685466825,-0.8326823497864856,2.570694087403599,0.5013981870548474,0.3446184811015594
10,100000,10.0,0.55,0.0,0.001,0.001,0.004,5519,141,389,14,0.0004076088140207981,0.00026364994512619646,0.12681585024372022,0.06567454245052029,-0.8326823497864856,2.313624678663239,0.45007472207196353,0.2929627303172613
20,100000,10.0,0.55,0.0,0.001,0.001,0.004,5519,141,389,14,0.0003780408101582319,0.0002340819412636303,0.11367227494745791,0.053193511806763016,-0.8326823497864856,2.313624678663239,0.41623004761531984,0.25920823272817595
5,50000,10.0,0.65,0.0,0.001,0.001,0.004,9068,164,389,4,9.2566660626031e-05,5.143555522757343e-05,0.026358756929298677,0.010100524257123933,-0.7809691665221874,0.5141388174807198,0.20336279370817847,0.1136241198864309
10,50000,10.0,0.65,0.0,0.001,0.001,0.004,9068,164,389,4,9.2566660626031e-05,5.143555522757343e-05,0.026358756929298677,0.010100524257123933,-0.7809691665221874,0.5141388174807198,0.20336279370817847,0.1136241198864309
20,50000,10.0,0.65,0.0,0.001,0.001,0.004,9068,164,389,4,9.2566660626031e-05,5.143555522757343e-05,0.026358756929298677,0.010100524257123933,-0.7809691665221874,0.5141388174807198,0.20336279370817847,0.1136241198864309
