trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-04-11,"CTR,FRT,DGC,ANV,DBC,NVL,ASM,DGW,POW,LAI",10,0.022849657981849215,0.0034142685017335044,0.5756072402000427,0.004,0.018849657981849215,-0.00965374136930408,-0.3655633554914167,-0.3458730233378976
2025-04-14,"VHC,VOS,CSV,DGC,HDG,PVT,CTP,IJC,ANV,DRI",10,-0.03232960154793848,-0.013481083037305093,0.556755006313324,0.004,-0.036329601547938475,-0.04167124130532618,-0.38861218599382463,-0.35469136342722074
2025-04-15,"GEE,BCM,HAG,POW,VHC,NVL,MSB,CTP,TPB,VOS",10,0.004284688043273965,-0.017837401415290728,0.487314373254776,0.004,0.0002846880432739651,-0.037565101531421674,-0.3884381311933738,-0.36620199261452335
2025-04-16,"TPB,POW,NVL,VCI,MSB,ACB,IJC,HDB,BCM,NAB",10,0.023055014797295624,0.013014178930770354,0.4876917898654938,0.004,0.019055014797295624,-0.0153761507057949,-0.37678481073380177,-0.35795363194044305
2025-04-17,"GEE,POW,MSB,TPB,VHC,DPR,ACB,HDB,SHS,MBB",10,0.023943576151880218,0.02306731680141207,0.4911231994628906,0.004,0.019943576151880218,0.008199265410738343,-0.3643556711476629,-0.3431433449672172
2025-04-18,"POW,ACB,PC1,HDB,HAP,TPB,BCM,NVL,FCN,MBB",10,0.01960355773817283,0.01110590892214596,0.5086653828620911,0.004,0.015603557738172829,0.027963557921801163,-0.35443735816147337,-0.33584835478151776
2025-04-21,"BCM,POW,TPB,VCG,PC1,NVL,THT,ACB,HDB,ANV",10,0.0010217684647463865,0.017087532289669093,0.49567094445228577,0.004,-0.0029782315352536136,0.02901389866819426,-0.3563599931793785,-0.32449964209861004
2025-04-22,"BCM,AVG,POW,CTR",4,0.07872538216460767,0.03942760075292353,0.4786622226238251,0.004,0.07472538216460767,0.11002341109354075,-0.3082637476932769,-0.29786628367881707
2025-04-23,"POW,BAF,HDB,CTI,DCL,ANV,CTR,HAG,MSB,ACB",10,0.03764513131777829,0.03998680012953913,0.514511227607727,0.004,0.033645131317778285,0.15181038816996528,-0.28499019064714937,-0.2697902031000714
2025-04-24,"POW,VHC,TPB,DCL,PC1,ACB,PVT,HAG,BCM,NVL",10,0.039900462419152384,0.027346181905096696,0.5151313543319702,0.004,0.03590046241915239,0.1977681552771302,-0.25932100785715206,-0.2498217531651623
