model_name,trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return,created_at
model3,2025-03-28,AVG,1,-0.07766990291262144,-0.0995502376490441,0.3633408844470978,0.004,-0.08166990291262144,0.6641039821031482,0.19053004573395138,-0.03291730500722778,2026-06-08 20:08:44
model3,2025-03-31,,0,0.0,-0.14336507015929467,0.0,0.0,0.0,0.6641039821031482,0.19053004573395138,-0.17156318342470633,2026-06-08 20:08:44
model3,2025-04-01,,0,0.0,-0.1399862640012714,0.0,0.0,0.0,0.6641039821031482,0.19053004573395138,-0.28753295833818826,2026-06-08 20:08:44
model3,2025-04-02,HMS,1,-0.08878148053930301,-0.12709754198152234,0.43959009647369385,0.004,-0.09278148053930302,0.5163623668006809,0.08007090546423123,-0.3780857680762514,2026-06-08 20:08:44
model3,2025-04-03,"BCA,POS,SAS,TCW,PPH",5,0.03022091779498324,-0.025349903528071385,0.5109597444534302,0.004,0.02622091779498324,0.5621882292351705,0.10839135588916204,-0.39385123385825305,2026-06-08 20:08:44
model3,2025-04-04,"CSC,CSM,LBM",3,-0.0006906579630079716,0.01208520888718899,0.38348889350891113,0.004,-0.004690657963007972,0.561109291494932,0.10319227114953144,-0.38652579940271814,2026-06-08 20:08:44
model3,2025-04-08,"TTN,VLC,LAI,DVN,GDA",5,0.1174044886150201,0.07815304639867864,0.4565935730934143,0.004,0.1134044886150201,0.7443905295350508,0.2282992265032866,-0.3385809217390465,2026-06-08 20:08:44
model3,2025-04-09,"LAI,ACV,TTN,CST",4,0.09471468421059187,0.10049488683980397,0.42817264795303345,0.004,0.09071468421059187,0.9096099276799103,0.3397240029516466,-0.2721116863155246,2026-06-08 20:08:44
model3,2025-04-10,"DPR,VHC,TRC,BCM,VRG",5,-0.06026598776748571,0.01998551323277015,0.5236960649490356,0.004,-0.06426598776748571,0.7945253991376835,0.25362531656614906,-0.25756446479040473,2026-06-08 20:08:44
model3,2025-04-11,"FRT,CTR,DGC,DBC,DGW",5,0.03273923566517913,0.0017879588264092588,0.5176829695701599,0.004,0.028739235665179132,0.853276789087202,0.28965354997477855,-0.2562370206221868,2026-06-08 20:08:44
model3,2025-04-14,"VHC,DGC,CSV,HDG,VOS",5,-0.06484653920942696,-0.014725921043068394,0.49714311957359314,0.004,-0.06884653920942696,0.7330982031177378,0.20086536627986318,-0.26718961553126175,2026-06-08 20:08:44
model3,2025-04-15,"GEE,BCM,HAG,AVG,MSN",5,-0.023045629099341602,-0.014385302636153972,0.42171868681907654,0.004,-0.027045629099341603,0.6931578647359511,0.16838720698521303,-0.27773131468676093,2026-06-08 20:08:44
model3,2025-04-16,"BCM,MSN,NLG,HAG,TPB",5,0.010277504164605645,0.017284184253622603,0.39413779973983765,0.004,0.006277504164605645,0.7105593017421097,0.1757217625429348,-0.2652474896491851,2026-06-08 20:08:44
model3,2025-04-17,"GEE,DPR,CTR,SHS,VDS",5,0.016188330295446262,0.027350633252407074,0.419886976480484,0.004,0.012188330295446262,0.7382504007086588,0.19005184772035233,-0.2451515432072945,2026-06-08 20:08:44
