model_name,trading_date,symbol,predicted_signal,adjusted_signal,sell_probability,hold_probability,buy_probability,encode_sector,sector,close,volume,target_signal,target_return,predicted_signal_score,signal_confidence,buy_sell_margin,created_at
model3,2025-07-21,RYG,HOLD,HOLD,0.18125723,0.6146395,0.20410325,3,3,11.9,36400.0,HOLD,0.004201680672268893,0.022846013,0.6146395,0.022846013,2026-06-08 20:08:43
model3,2025-07-22,RYG,HOLD,HOLD,0.27723166,0.49809316,0.22467513,3,3,12.25,55100.0,HOLD,-0.020408163265306145,-0.05255653,0.49809316,-0.05255653,2026-06-08 20:08:43
model3,2025-07-23,RYG,HOLD,HOLD,0.20693325,0.5482831,0.24478365,3,3,12.0,44200.0,HOLD,0.0,0.03785041,0.5482831,0.03785041,2026-06-08 20:08:43
model3,2025-07-24,RYG,HOLD,HOLD,0.17748637,0.58839476,0.2341189,3,3,12.05,74800.0,HOLD,-0.004149377593361092,0.05663252,0.58839476,0.05663252,2026-06-08 20:08:43
model3,2025-07-28,RYG,HOLD,HOLD,0.18217714,0.6049123,0.21291055,3,3,12.0,41300.0,HOLD,0.008333333333333304,0.030733407,0.6049123,0.030733407,2026-06-08 20:08:43
model3,2025-07-29,RYG,HOLD,HOLD,0.121995345,0.6765009,0.20150375,3,3,11.95,41400.0,HOLD,0.008368200836820217,0.07950841,0.6765009,0.07950841,2026-06-08 20:08:43
model3,2025-07-30,RYG,HOLD,HOLD,0.13364597,0.7217484,0.14460565,3,3,12.0,800.0,HOLD,0.0,0.010959685,0.7217484,0.010959685,2026-06-08 20:08:43
model3,2025-07-31,RYG,HOLD,HOLD,0.1128837,0.7174954,0.16962089,3,3,12.0,27100.0,HOLD,-0.004166666666666763,0.056737185,0.7174954,0.056737185,2026-06-08 20:08:43
model3,2025-08-01,RYG,HOLD,HOLD,0.083104074,0.74397814,0.17291777,3,3,12.0,68500.0,HOLD,0.0,0.089813694,0.74397814,0.089813694,2026-06-08 20:08:43
model3,2025-08-04,RYG,HOLD,HOLD,0.107307,0.70338213,0.18931088,3,3,12.1,57500.0,HOLD,-0.008264462809917328,0.08200388,0.70338213,0.08200388,2026-06-08 20:08:43
model3,2025-08-05,RYG,HOLD,HOLD,0.1540692,0.6875259,0.1584049,3,3,12.05,61700.0,HOLD,-0.004149377593361092,0.0043357015,0.6875259,0.0043357015,2026-06-08 20:08:43
model3,2025-08-06,RYG,HOLD,HOLD,0.1480863,0.6973609,0.15455289,3,3,12.0,48900.0,HOLD,0.0,0.0064665973,0.6973609,0.0064665973,2026-06-08 20:08:43
model3,2025-08-07,RYG,HOLD,HOLD,0.1008923,0.74826074,0.150847,3,3,11.95,41600.0,HOLD,0.004184100418409997,0.049954705,0.74826074,0.049954705,2026-06-08 20:08:43
model3,2025-08-08,RYG,HOLD,HOLD,0.09467392,0.7399485,0.16537765,3,3,12.0,58100.0,HOLD,0.0,0.07070373,0.7399485,0.07070373,2026-06-08 20:08:43
model3,2025-08-11,RYG,HOLD,HOLD,0.098278165,0.7625675,0.13915433,3,3,12.0,48600.0,HOLD,0.0,0.040876165,0.7625675,0.040876165,2026-06-08 20:08:43
model3,2025-08-12,RYG,HOLD,HOLD,0.08663986,0.7742924,0.13906772,3,3,12.0,1023000.0,BUY,0.04166666666666674,0.052427866,0.7742924,0.052427866,2026-06-08 20:08:43
